#START7777
#--------------------------------------------------------------------------------------------------
# FLAG의 자리별 Y인 경우 의미 (왼쪽부터)
#   1 : 지상
#   2 : 표준등압면
#   3 : 온도유의고도
#   4 : 바람유의고도
#   5 : 권계면
#   6 : 최대풍
#   7 : 61616
#   8 : 52525
#   9 : TTAA
#  10 : TTBB
#  11 : TTCC
#  12 : TTDD
#--------------------------------------------------------------------------------------------------
# YYMMDDHHMI   STN      PA      GH      TA      TD      WD      WS FLAG
#        UTC    ID     hPa       m       C       C  degree     m/s 123456789012
201806210000 47104   629.0  -999.0    -0.9   -22.9  -999.0  -999.0 001000000100
201806210000 47104   612.0  -999.0  -999.0  -999.0   305.0    22.1 000100000100
201806210000 47104   606.0  -999.0    -1.9   -27.9  -999.0  -999.0 001000000100
201806210000 47104   583.0  -999.0    -3.9   -32.9  -999.0  -999.0 001000000100
201806210000 47104   561.0  -999.0    -6.3   -32.3  -999.0  -999.0 001000000100
201806210000 47104   519.0  -999.0   -10.7   -37.7  -999.0  -999.0 001000000100
201806210000 47104   505.0  -999.0  -999.0  -999.0   295.0    29.8 000100000100
201806210000 47104   500.0  5690.0   -12.9   -39.9   290.0    29.8 010000001000
201806210000 47104   480.0  -999.0   -15.7   -41.7  -999.0  -999.0 001000000100
201806210000 47104   465.0  -999.0   -17.7   -42.7  -999.0  -999.0 001000000100
201806210000 47104   427.0  -999.0  -999.0  -999.0   285.0    29.8 000100000100
201806210000 47104   423.0  -999.0   -22.1   -46.1  -999.0  -999.0 001000000100
201806210000 47104   400.0  7350.0   -22.9   -50.9   285.0    39.6 010000001000
201806210000 47104   392.0  -999.0   -23.7   -50.7  -999.0  -999.0 001000000100
201806210000 47104   376.0  -999.0  -999.0  -999.0   275.0    44.2 000100000100
201806210000 47104   368.0  -999.0   -26.1   -45.1  -999.0  -999.0 001000000100
201806210000 47104   337.0  -999.0  -999.0  -999.0   265.0    45.3 000100000100
201806210000 47104   327.0  -999.0   -33.3   -49.3  -999.0  -999.0 001000000100
201806210000 47104   319.0  -999.0  -999.0  -999.0   265.0    50.4 000100000100
201806210000 47104   318.0  -999.0   -34.1   -51.1  -999.0  -999.0 001000000100
201806210000 47104   300.0  9400.0   -37.1   -55.1   260.0    51.4 010000001000
201806210000 47104   286.0  -999.0  -999.0  -999.0   265.0    52.0 000100000100
201806210000 47104   269.0  -999.0  -999.0  -999.0   255.0    47.3 000100000100
201806210000 47104   255.0  -999.0   -44.9   -61.9  -999.0  -999.0 001000000100
201806210000 47104   250.0 10640.0   -45.5   -62.5   260.0    50.9 010000001000
201806210000 47104   249.0  -999.0  -999.0  -999.0   260.0    50.9 000100000100
201806210000 47104   244.0  -999.0   -45.9   -61.9  -999.0  -999.0 001000000100
201806210000 47104   232.0  -999.0   -46.3   -64.3  -999.0  -999.0 001000000100
201806210000 47104   226.0  -999.0  -999.0  -999.0   250.0    42.2 000100000100
201806210000 47104   206.0  -999.0   -50.7   -66.7  -999.0  -999.0 001000000100
201806210000 47104   205.0  -999.0  -999.0  -999.0   245.0    55.6 000001001000
201806210000 47104   203.0  -999.0   -50.7   -66.7  -999.0  -999.0 001000000100
201806210000 47104   200.0 12110.0   -50.9   -66.9   245.0    54.0 010000001000
201806210000 47104   188.0  -999.0   -48.5   -70.5  -999.0  -999.0 001000000100
201806210000 47104   175.0  -999.0  -999.0  -999.0   250.0    40.1 000100000100
201806210000 47104   167.0  -999.0   -53.7   -75.7  -999.0  -999.0 001000000100
201806210000 47104   161.0  -999.0   -53.9   -75.9  -999.0  -999.0 001000000100
201806210000 47104   159.0  -999.0  -999.0  -999.0   255.0    47.3 000100000100
201806210000 47104   150.0 13970.0   -54.5   -79.5   260.0    41.7 011000001100
201806210000 47104   145.0  -999.0   -56.1   -80.1  -999.0  -999.0 001000000100
201806210000 47104   137.0  -999.0   -55.5   -81.5  -999.0  -999.0 001000000100
201806210000 47104   130.0  -999.0  -999.0  -999.0   255.0    38.6 000100000100
201806210000 47104   128.0  -999.0   -57.3   -82.3  -999.0  -999.0 001000000100
201806210000 47104   118.0  -999.0   -59.7   -84.7  -999.0  -999.0 001000000100
201806210000 47104   112.0  -999.0   -59.7   -85.7  -999.0  -999.0 001000000100
201806210000 47104   104.0  -999.0  -999.0  -999.0   260.0    21.1 000100000100
201806210000 47104   101.0  -999.0   -63.7   -87.7  -999.0  -999.0 001000000100
201806210000 47104   100.0 16520.0   -63.5   -87.5   250.0    24.2 011000001100
201806210000 47104    94.6  -999.0  -999.0  -999.0   260.0    26.8 000100000001
201806210000 47104    90.2  -999.0  -999.0  -999.0   275.0    23.1 000100000001
201806210000 47104    87.2  -999.0   -60.5   -85.5  -999.0  -999.0 001000000001
201806210000 47104    81.9  -999.0  -999.0  -999.0   255.0    15.4 000100000001
201806210000 47104    78.7  -999.0   -61.7   -87.7  -999.0  -999.0 001000000001
201806210000 47104    76.1  -999.0  -999.0  -999.0   260.0    15.4 000100000001
201806210000 47104    75.4  -999.0   -56.7   -85.7  -999.0  -999.0 001000000001
201806210000 47104    72.0  -999.0  -999.0  -999.0   220.0    13.4 000100000001
201806210000 47104    70.0 18740.0   -59.1   -88.1   225.0    13.4 010000000010
201806210000 47104    69.3  -999.0  -999.0  -999.0   230.0    13.4 000100000001
201806210000 47104    62.9  -999.0   -60.7   -89.7   285.0     4.1 001010000011
201806210000 47104    55.4  -999.0  -999.0  -999.0     0.0     0.0 000100000001
201806210000 47104    53.5  -999.0  -999.0  -999.0   120.0     6.2 000100000001
201806210000 47104    50.0 20860.0   -56.9   -86.9   225.0     5.1 010000000010
201806210000 47104    48.9  -999.0   -56.5   -87.5  -999.0  -999.0 001000000001
201806210000 47104    41.4  -999.0  -999.0  -999.0   100.0     1.0 000100000001
201806210000 47104    31.9  -999.0  -999.0  -999.0    80.0     7.7 000100000001
201806210000 47122  1003.0  -999.0    19.4    16.4   280.0     2.6 101000001100
201806210000 47122  1000.0   128.0    19.4    14.8   280.0     3.1 010000001000
201806210000 47122   932.0  -999.0    13.6    13.2  -999.0  -999.0 001000000100
201806210000 47122   925.0   791.0    12.6     8.8   335.0     6.7 011000001100
201806210000 47122   914.0  -999.0    17.2     7.2  -999.0  -999.0 001000000100
201806210000 47122   913.0  -999.0  -999.0  -999.0   340.0     8.7 000100000100
201806210000 47122   900.0  -999.0  -999.0  -999.0   340.0     9.3 000000100100
201806210000 47122   850.0  1507.0    12.8     1.8   325.0    11.3 010000001000
201806210000 47122   842.0  -999.0  -999.0  -999.0   315.0    12.3 000100000100
201806210000 47122   817.0  -999.0  -999.0  -999.0   310.0    12.3 000100000100
201806210000 47122   800.0  -999.0  -999.0  -999.0   320.0    11.3 000000100100
201806210000 47122   792.0  -999.0  -999.0  -999.0   330.0    10.8 000100000100
201806210000 47122   749.0  -999.0  -999.0  -999.0   315.0    13.4 000100000100
201806210000 47122   701.0  -999.0  -999.0  -999.0   320.0    14.9 000100000100
201806210000 47122   700.0  3112.0     4.8   -19.2   320.0    14.9 010000001000
201806210000 47122   666.0  -999.0     2.2   -26.8  -999.0  -999.0 001000000100
201806210000 47122   645.0  -999.0     3.0   -35.0  -999.0  -999.0 001000000100
201806210000 47122   600.0  -999.0  -999.0  -999.0   290.0    15.4 000000100100
201806210000 47122   589.0  -999.0  -999.0  -999.0   280.0    15.9 000100000100
201806210000 47122   582.0  -999.0    -2.9   -51.9  -999.0  -999.0 001000000100
201806210000 47122   563.0  -999.0  -999.0  -999.0   285.0    15.4 000100000100
201806210000 47122   500.0  5772.0   -13.1   -58.1   290.0    22.1 010000001000
201806210000 47122   483.0  -999.0   -15.3   -59.3  -999.0  -999.0 001000000100
201806210000 47122   479.0  -999.0  -999.0  -999.0   290.0    22.1 000100000100
201806210000 47122   431.0  -999.0  -999.0  -999.0   295.0    35.0 000100000100
201806210000 47122   410.0  -999.0   -19.7   -44.7  -999.0  -999.0 001000000100
201806210000 47122   400.0  7442.0   -21.1   -49.1   280.0    36.0 010000001000
201806210000 47122   365.0  -999.0  -999.0  -999.0   275.0    38.1 000100000100
201806210000 47122   344.0  -999.0   -28.5   -68.5  -999.0  -999.0 001000000100
201806210000 47122   300.0  9502.0   -37.1   -74.1   280.0    42.2 010000001000
201806210000 47122   286.0  -999.0  -999.0  -999.0   280.0    41.7 000100000100
201806210000 47122   251.0  -999.0  -999.0  -999.0   265.0    43.7 000100000100
201806210000 47122   250.0 10732.0   -46.5   -80.5   265.0    44.2 010000001000
201806210000 47122   240.0  -999.0   -48.3   -81.3  -999.0  -999.0 001000000100
201806210000 47122   234.0  -999.0  -999.0  -999.0   275.0    45.8 000001001000
201806210000 47122   221.0  -999.0  -999.0  -999.0   275.0    42.2 000100000100
201806210000 47122   200.0 12192.0   -53.9   -84.9   250.0    44.2 010000001000
201806210000 47122   199.0  -999.0  -999.0  -999.0   250.0    44.8 000100000100
201806210000 47122   182.0  -999.0  -999.0  -999.0   255.0    40.1 000100000100
201806210000 47122   178.0  -999.0   -55.9   -86.9   255.0    40.6 001010001100
201806210000 47122   160.0  -999.0  -999.0  -999.0   245.0    38.6 000100000100
201806210000 47122   150.0 14022.0   -57.5   -87.5   255.0    43.7 010000001000
201806210000 47122   141.0  -999.0   -56.1   -87.1  -999.0  -999.0 001000000100
201806210000 47122   128.0  -999.0  -999.0  -999.0   270.0    36.5 000100000100
201806210000 47122   115.0  -999.0   -63.7   -91.7  -999.0  -999.0 001000000100
201806210000 47122   111.0  -999.0  -999.0  -999.0   265.0    35.5 000100000100
201806210000 47122   105.0  -999.0   -62.1   -91.1  -999.0  -999.0 001000000100
201806210000 47122   100.0 16552.0   -61.7   -90.7   270.0    27.8 010000001000
201806210000 47122    88.2  -999.0  -999.0  -999.0   280.0    18.0 000100000001
201806210000 47122    84.6  -999.0  -999.0  -999.0   270.0    17.5 000100000001
201806210000 47122    82.4  -999.0   -61.3   -90.3  -999.0  -999.0 001000000001
201806210000 47122    81.1  -999.0  -999.0  -999.0   285.0     8.7 000100000001
201806210000 47122    77.8  -999.0  -999.0  -999.0   240.0     8.7 000100000001
201806210000 47122    75.1  -999.0  -999.0  -999.0   230.0    10.3 000100000001
201806210000 47122    70.3  -999.0  -999.0  -999.0   260.0    11.3 000100000001
201806210000 47122    70.0 18752.0   -62.5   -91.5   260.0    10.8 010000000010
201806210000 47122    67.9  -999.0  -999.0  -999.0   220.0     9.8 000100000001
201806210000 47122    64.5  -999.0  -999.0  -999.0   235.0    14.9 000100000001
201806210000 47122    64.4  -999.0   -63.5   -91.5  -999.0  -999.0 001000000001
201806210000 47122    61.3  -999.0  -999.0  -999.0   280.0     8.2 000100000001
201806210000 47122    60.2  -999.0  -999.0  -999.0   280.0     5.7 000100000001
201806210000 47122    59.3  -999.0  -999.0  -999.0   265.0     5.7 000100000001
201806210000 47122    57.4  -999.0   -60.7   -89.7  -999.0  -999.0 001000000001
201806210000 47122    56.8  -999.0  -999.0  -999.0   275.0     7.2 000100000001
201806210000 47122    55.4  -999.0  -999.0  -999.0   300.0     8.7 000100000001
201806210000 47122    54.6  -999.0   -56.5   -87.5  -999.0  -999.0 001000000001
201806210000 47122    54.4  -999.0  -999.0  -999.0   345.0     5.1 000100000001
201806210000 47122    50.0 20852.0   -57.9   -87.9   205.0     4.6 010000000010
201806210000 47122    46.3  -999.0  -999.0  -999.0   265.0     0.5 000100000001
201806210000 47122    46.1  -999.0  -999.0  -999.0     0.0     0.0 000100000001
201806210000 47122    45.9  -999.0  -999.0  -999.0    90.0     0.5 000100000001
201806210000 47122    45.8  -999.0  -999.0  -999.0    90.0     0.5 000100000001
201806210000 47122    45.6  -999.0  -999.0  -999.0   305.0     0.5 000100000001
201806210000 47122    39.0  -999.0  -999.0  -999.0   105.0     5.1 000100000001
201806210000 47122    36.5  -999.0  -999.0  -999.0   115.0     5.1 000100000001
201806210000 47122    35.8  -999.0  -999.0  -999.0    95.0     6.2 000100000001
201806210000 47122    35.3  -999.0  -999.0  -999.0   105.0     6.2 000100000001
201806210000 47122    33.6  -999.0  -999.0  -999.0    55.0     7.2 000100000001
201806210000 47122    31.2  -999.0  -999.0  -999.0    90.0     5.1 000100000001
201806210000 47122    30.8  -999.0  -999.0  -999.0    70.0     7.2 000100000001
201806210000 47122    30.2  -999.0  -999.0  -999.0    65.0     8.7 000100000001
201806210000 47122    30.0 24112.0   -54.1   -85.1    65.0     9.8 010000000010
201806210000 47122    27.3  -999.0  -999.0  -999.0   135.0    10.3 000100000001
201806210000 47122    26.1  -999.0  -999.0  -999.0    85.0     9.8 000100000001
201806210000 47122    25.2  -999.0   -53.5   -84.5  -999.0  -999.0 001000000001
201806210000 47122    25.0  -999.0  -999.0  -999.0   100.0    10.8 000100000001
201806210000 47122    24.4  -999.0  -999.0  -999.0    85.0    12.3 000100000001
201806210000 47122    23.3  -999.0  -999.0  -999.0   115.0    15.4 000100000001
201806210000 47122    22.5  -999.0  -999.0  -999.0   120.0    10.3 000100000001
201806210000 47122    22.1  -999.0  -999.0  -999.0    95.0     6.2 000100000001
201806210000 47122    21.5  -999.0  -999.0  -999.0    75.0     8.7 000100000001
201806210000 47122    20.9  -999.0  -999.0  -999.0   115.0    11.8 000100000001
201806210000 47122    20.5  -999.0  -999.0  -999.0   120.0     8.7 000100000001
201806210000 47122    20.0 26732.0   -49.9   -82.9    95.0     8.2 010000000010
201806210000 47122    19.9  -999.0  -999.0  -999.0    85.0     8.7 000100000001
201806210000 47122    18.8  -999.0  -999.0  -999.0   100.0    10.3 000100000001
201806210000 47122    17.8  -999.0  -999.0  -999.0    65.0    10.8 000100000001
201806210000 47122    17.2  -999.0  -999.0  -999.0    85.0    12.9 000100000001
201806210000 47122    16.7  -999.0  -999.0  -999.0    60.0    11.3 000100000001
201806210000 47122    16.4  -999.0   -47.1   -81.1  -999.0  -999.0 001000000001
201806210000 47122    16.0  -999.0  -999.0  -999.0    85.0    16.5 000100000001
201806210000 47122    15.6  -999.0   -46.3   -80.3  -999.0  -999.0 001000000001
201806210000 47138  1005.0  -999.0    24.2    17.2   250.0     2.1 101000001100
201806210000 47138  1000.0    49.0    23.6    13.6   240.0     3.1 010000001000
201806210000 47138   981.0  -999.0  -999.0  -999.0   210.0     1.0 000100000100
201806210000 47138   972.0  -999.0    21.2    14.2  -999.0  -999.0 001000000100
201806210000 47138   938.0  -999.0    19.4    11.4  -999.0  -999.0 001000000100
201806210000 47138   925.0   723.0    18.8     9.8   305.0     8.2 010000001000
201806210000 47138   906.0  -999.0    18.8     3.8  -999.0  -999.0 001000000100
201806210000 47138   892.0  -999.0  -999.0  -999.0   300.0    10.8 000100000100
201806210000 47138   875.0  -999.0    16.6     1.6  -999.0  -999.0 001000000100
201806210000 47138   850.0  1444.0    14.4     2.4   305.0     9.8 010000001000
201806210000 47138   815.0  -999.0    11.4    -2.6  -999.0  -999.0 001000000100
201806210000 47138   812.0  -999.0    11.4    -1.6  -999.0  -999.0 001000000100
201806210000 47138   796.0  -999.0    11.8   -14.2  -999.0  -999.0 001000000100
201806210000 47138   786.0  -999.0    11.2   -14.8  -999.0  -999.0 001000000100
201806210000 47138   776.0  -999.0  -999.0  -999.0   350.0     8.7 000100000100
201806210000 47138   758.0  -999.0    10.0   -12.0  -999.0  -999.0 001000000100
201806210000 47138   743.0  -999.0     9.8   -17.2  -999.0  -999.0 001000000100
201806210000 47138   731.0  -999.0     9.0   -18.0  -999.0  -999.0 001000000100
201806210000 47138   705.0  -999.0     6.6   -18.4  -999.0  -999.0 001000000100
201806210000 47138   700.0  3059.0     6.0   -18.0   280.0     5.7 010000001000
201806210000 47138   673.0  -999.0     3.8   -23.2  -999.0  -999.0 001000000100
201806210000 47138   655.0  -999.0     3.2   -28.8  -999.0  -999.0 001000000100
201806210000 47138   649.0  -999.0     2.8   -34.2  -999.0  -999.0 001000000100
201806210000 47138   632.0  -999.0  -999.0  -999.0   315.0    12.9 000100000100
201806210000 47138   631.0  -999.0     1.4   -29.6  -999.0  -999.0 001000000100
201806210000 47138   608.0  -999.0     0.2   -30.8  -999.0  -999.0 001000000100
201806210000 47138   585.0  -999.0    -2.1   -32.1  -999.0  -999.0 001000000100
201806210000 47138   571.0  -999.0  -999.0  -999.0   295.0    14.4 000100000100
201806210000 47138   564.0  -999.0    -4.1   -35.1  -999.0  -999.0 001000000100
201806210000 47138   522.0  -999.0    -8.9   -38.9  -999.0  -999.0 001000000100
201806210000 47138   500.0  5730.0   -11.9   -39.9   300.0    20.6 010000001000
201806210000 47138   491.0  -999.0  -999.0  -999.0   295.0    21.1 000100000100
201806210000 47138   483.0  -999.0   -14.1   -40.1  -999.0  -999.0 001000000100
201806210000 47138   477.0  -999.0   -14.7   -40.7  -999.0  -999.0 001000000100
201806210000 47138   432.0  -999.0  -999.0  -999.0   285.0    36.5 000100000100
201806210000 47138   431.0  -999.0   -14.3   -34.3  -999.0  -999.0 001000000100
201806210000 47138   407.0  -999.0  -999.0  -999.0   275.0    33.4 000100000100
201806210000 47138   400.0  7420.0   -18.7   -41.7   275.0    34.5 010000001000
201806210000 47138   396.0  -999.0   -19.1   -43.1  -999.0  -999.0 001000000100
201806210000 47138   379.0  -999.0   -20.3   -47.3  -999.0  -999.0 001000000100
201806210000 47138   366.0  -999.0  -999.0  -999.0   270.0    40.1 000100000100
201806210000 47138   344.0  -999.0   -26.3   -50.3  -999.0  -999.0 001000000100
201806210000 47138   322.0  -999.0   -28.3   -40.3  -999.0  -999.0 001000000100
201806210000 47138   300.0  9500.0   -32.5   -44.5   250.0    40.1 010000001000
201806210000 47138   263.0  -999.0   -40.5   -43.3  -999.0  -999.0 001000000100
201806210000 47138   260.0  -999.0   -41.1   -44.2  -999.0  -999.0 001000000100
201806210000 47138   250.0 10760.0   -43.1   -46.4   230.0    44.8 010000001000
201806210000 47138   248.0  -999.0   -43.5   -46.7  -999.0  -999.0 001000000100
201806210000 47138   235.0  -999.0   -46.1   -54.1  -999.0  -999.0 001000000100
201806210000 47138   228.0  -999.0   -45.3   -57.3  -999.0  -999.0 001000000100
201806210000 47138   214.0  -999.0  -999.0  -999.0   225.0    63.8 000001001000
201806210000 47138   207.0  -999.0   -49.1   -62.1  -999.0  -999.0 001000000100
201806210000 47138   200.0 12240.0   -50.7   -67.7   230.0    60.7 011000001100
201806210000 47138   195.0  -999.0  -999.0  -999.0   230.0    58.1 000100000100
201806210000 47138   181.0  -999.0  -999.0  -999.0   235.0    59.7 000100000100
201806210000 47138   174.0  -999.0   -55.3   -72.3  -999.0  -999.0 001000000100
201806210000 47138   168.0  -999.0  -999.0  -999.0   240.0    53.0 000100000100
201806210000 47138   164.0  -999.0   -55.5   -72.5  -999.0  -999.0 001000000100
201806210000 47138   150.0 14080.0   -58.1   -75.1   245.0    55.0 010000001000
201806210000 47138   147.0  -999.0  -999.0  -999.0   250.0    55.0 000100000100
201806210000 47138   135.0  -999.0   -60.9   -77.9  -999.0  -999.0 001000000100
201806210000 47138   129.0  -999.0   -61.3   -78.3  -999.0  -999.0 001000000100
201806210000 47138   121.0  -999.0  -999.0  -999.0   260.0    44.2 000100000100
201806210000 47138   117.0  -999.0   -62.9   -79.9  -999.0  -999.0 001000000100
201806210000 47138   106.0  -999.0   -66.7   -81.7   270.0    27.8 001010001100
201806210000 47138   100.0 16580.0   -66.3   -81.3   260.0    26.2 011000001100
201806210000 47138    93.0  -999.0  -999.0  -999.0   250.0    25.2 000100000001
201806210000 47138    87.9  -999.0  -999.0  -999.0   270.0    21.1 000100000001
201806210000 47138    84.0  -999.0   -63.9   -79.9  -999.0  -999.0 001000000001
201806210000 47138    79.2  -999.0   -66.5   -82.5  -999.0  -999.0 001000000001
201806210000 47138    78.9  -999.0  -999.0  -999.0   265.0    14.4 000100000001
201806210000 47138    77.2  -999.0   -67.1   -83.1  -999.0  -999.0 001000000001
201806210000 47138    70.0 18750.0   -62.5   -79.5   230.0    11.8 010000000010
201806210000 47138    69.3  -999.0  -999.0  -999.0   230.0    11.8 000100000001
201806210000 47138    66.2  -999.0  -999.0  -999.0   255.0    17.0 000100000001
